condition,split,RMSE,MAE,MAPE,R2
Normal,train,0.03782415059337363,0.029682081932869055,0.3596897480324482,0.44981589161002034
Normal,val,0.03797219554443053,0.029843773201329866,0.3616756511668042,0.47419038244597533
Normal,test,0.03797219554443053,0.029843773201329866,0.3616756511668042,0.47419038244597533
Leak,train,0.039070295573445754,0.031170466172904757,0.3784281878964208,0.41616676844070755
Leak,val,0.03915420768850153,0.03125474804866305,0.37952445537376184,0.43082491098812603
Leak,test,0.04489173990315703,0.03550148338009577,0.43210403343313364,0.13818921975909626
Block,train,0.09691453237174155,0.06790639479916971,0.830923489555113,0.6652515006083757
Block,val,0.09205960798718685,0.06391432376966495,0.7816456765222073,0.6507107195815911
Block,test,0.1160020374264918,0.08146730015231031,1.0034589958151934,-0.5192474851970741
Worn,train,0.03616848306638067,0.028836347567500715,0.3498771008548938,0.9195078443320525
Worn,val,0.03591878318601886,0.028639254968737884,0.3475170350820365,0.8576920669407965
Worn,test,0.032375965041141354,0.026002155874579803,0.31575375900438885,0.2022527321767379
